grant_id,book,snippet
II_6_196,6,"THOMAS HANKES, 300 acs. on branches of Peanketanke Swampe & Poropotanke, 8 Oct. 1667, p. 84. Beg. at his other devdt. in the line of Coll. L"
II_6_199,6,"SAME. 308 A., 3 R, 31 P., same Idcation, date & page. 200 acs. purchased of Richard Pace, as by records of sd. county will appeare; & residu"
II_6_201,6,"WM. HARRISON, Junr., 368 A., 3 R., 37 P., Chas. Cytty Co., S. side of James Riv., 5 Apr. 1667, p. 86. Beg. in a line of Capt. David Peoples,"
II_6_203,6,"ENOCH DOUGHTY, 50Q acs. on N. side of Rappa. Riv., above Nanzemone Towne, 8 Nov. 1667, p.-88. Beg. next to land of Mr. Charles Grimes, dec’d"
II_6_204,6,"GEORGE BROWNEING, 103 A., 38 P., 14 Nov, 1667, p. 88. Bet. his own & land of Thomas Gagecome &c. to John Howell’s field &c. Granted’ by orde"
II_6_205,6,"MR. THOMAS PATTISON, 400 acs. S. side of .Rappa. Co., upon branches of Killman’s Cr., 8 Nov. 1667, p. 89.° By land of Evin Davis & Thomas Wi"
II_6_206,6,"RICE JONES, 1300 acs. S. side of Lancaster Co., 8 Nov. 1667, p. 89. Beg. at land formerly Haward’s, by the Draggon Sw., &c. to his own forme"
II_6_211,6,"MR. RICHARD HILL, 212 acs. (Co. not given), 31 Dec. 1667, p. 92. Beg. at land formerly belonging to sd. Hill, now in tenure of Lt. Coll. Joh"
II_6_233,6,"SAME. 1000 acs., same Co., date & page. Beg. at a small gutt parting this & land of James Bonner, up the Riv. to land of Mr. Parrott &c., to"
II_6_241,6,"SAME. 300 acs., same Co. & date, p. 104. On N. Riv. in Mockjack Bay, beg. at a cr. deviding this & land of Edward Welch, dec’d., &c. Trans. "
II_6_246,6,"MILES LEWIS & RICHARD LEWIS, atphants of Rich. Lewis, 400 acs. in Chuckatuck Parrish, 29 Jan. 1667, p. 105. Adj. lands of Tho. Jordan & Tere"
II_6_253,6,"SAME. 1700 acs., same Co. & date, p. 108. S. side Yorke Riv. on both sides of Totopomoyes Cr., beg. in line of Mr. Moses Davis, over Powhite"
II_6_257,6,"THOMAS NORCOTT, 472 acs. in the W. br. ‘of Eliz. Riv., adj. lands of James Harris, Thomas Wright & Rich Starnell; 30 Aug..1665, p. 110. 200 "
II_6_259,6,"CAPT. THOMAS GODWIN (God“wyn), 179 acs.-in Chuccatuck Parrish, adj. lands of Hopkin Howell, Jeremy Rutter, Jno. Dukes, Tho. Beest & Jno. Tho"
II_6_261,6,"MR, WILLIAM TRAVERS, 2650 acs. N. side of Rappa. Co., 27 Feb. 1667/8, p. 112. 2250 acs. granted to Mr. Tho-, mas Chetwcod & George Hasellock"
II_6_263,6,"RICHARD YEATES, 450 acs. in §. br. of Eliz. Riv.,*bet. lands of Francis Sawyer & his own, 13 Mar, 1667/8, p. 112. 300 acs, granted to Capt. "
II_6_264,6,"JOHN CHYNN, 370 acs. upon a br. of Moratico Cr., adj. land: of Edward Miles; 17 Mar. 1667/8, p. 113. Granted co David Fox, Gent., assigned t"
II_6_266,6,"JOHN _ SEXTON, 1000 acs. New Kert Co., N. side Yorke Riv., 16 Mar. 1667/8, p. 114. Beg. in line of Mr. VYoodward & adj. lands of Mr. Arnold "
II_6_274,6,"MR. WM. LOYD, 2467 acs., 18 Apr. 1668, p. 118 Beg. at a main trun of Rappa. Cr., along Col. Peyton’s marked trees &c. Payment to be made fro"
II_6_276,6,"DAVID JENINGS, 320 acs., N'umberland Co., at the head & on the S. side of Gr. Wiccocomico Riv., 18 Apr. 1668, p. 119. Beg. on the N. side of"
II_6_280,6,"HENRY CORBIN, Esqr.; 1390 acs. on N. side of Rappa. ‘Co. in the freshes, about 550 po. from the river side; 25 Mar. 1667/8, p. 120.. Beg. at"
II_6_295,6,"JOSEPH BAYLEY, 1215 acs. N. side of Lancaster Co., 7 June 1666, p. 131. Upon a main br.-of Corrotoman. -Trans. of 25 pers: Geo. Hearne, Jane"
II_6_300,6,"THOMAS ADDAMS & RICHARD RICE, 700 acs., (Co. not given) 7 Mar. 1666> p. 133. 400 acs, betwixt 2 maine branches at the head of Chickacone Riv"
II_6_312,6,"THOMAS BLAND, MARY his wife, & to the heirs of the said Mary, 750 acs, Up. Par.’ of. Is. of Wight C6é., 1 June 1664, ‘and recorded: 21 May, "
II_6_313,6,"JOHN LACY, 370 acs. Kappa. Co., behind land of James: Ellison, dec’d., above land of Tobias Smith, & adj. land sold’ to~Capt. Josias Pickus;"
II_6_325,6,"MR. THO. JERMINGAN (or Jerningan), 250 acs. .Nanzemiond Co.; at a place’ called Somerton, 18 May, 1668, p. 146. Adj. lands of Aylington & Wm"
II_6_331,6,"JOHN BROWNE, 600 acs. Surrey Co., 1 Mar. 1666, p. 149. E. side the maine Black water Sw., along Thomas Gaultney &c. Trans. of 12 pers: Willm"
II_6_334,6,"SAME. 600 ac%., same Co,, date & page. N. side sd. Riv., at the mouth of Decp run above the Mattapony Towne. along path to Nangatico Towne, "
II_6_336,6,"LT. COLL. JOHN WALKER, Esqr., 1200 acs. on E'wd. side of a run of Ware Riv., 14 Oct. 1663, (& recorded 25 July, 1668) p. 151. Adj. land of M"
II_6_340,6,"SAME. 150 acs.,s same Co., date & page. In Nutmeg Quarter. Due as above."
II_6_348,6,"MR. WILLIAM HOSKINS, 350 acs S. side of Rappa. Co., 18 Apr. 1668, p. 156. Adj. land of Lt. Coll. Smith's Orphants, land formerly belonging t"
II_6_353,6,"GEORGE MORRIS & JOHN LONG, 1600 acs., upon branches of Major Andrew Gilson’s Cr., 29 Sept. 1667, p. 158. Adj. icnd formerly belonging to Mr."
II_6_366,6,"WILLIAM PEIRCE. (Peirse), 100 22 Apr. 1668, p. 166. Beg. nigh the mouth of Scott’s Cr., along Mr. Harwood's lyne &c. Granted Jno, Rolfe, Wm."
II_6_369,6,"CAPT. LAWRENCE BAKER, 2050 acs. Surrey Co.. 24 Apr. 1667, p. 167. Nigh James Keddickes, upon . Rich. Drewe’s lyne &c. SOU acs. part granted "
II_6_370,6,"WILLIAM CARNEY, 100 acs., in western br .of Eliz. Riv., by Clarke’s Cr., 17 Mar. 1667,-p. 167.- Granted to Rich. Starnell, 11 Jan. 1652, who"
II_6_373,6,"SAME. 536 acs., same Co. & date, p. 170. On the Tymber Sw., adj. Wm. Elcome, nere Mr. Sorrell’s path, Warreny Sw., nere an Indian field, to "
II_6_381,6,"WM. HODGSON, 25 acs. S. side of Rappa. Co., in the freshes. about %4 mi. up Lucas Cr., 24 Sept. 1668, p. 175. Beg. on S. side of the horse p"
II_6_383,6,"MR. NATHANIELL BENTLY. 395 acs. in the freshes of Rappa., about 4 mi. from the River, 24 Sept. 1668, p. 175. Beg, next to Willm. Hodson, to "
II_6_387,6,"THO. MAIDSTAIRD (Meadstaird). 1136 acs.. about 10 mi, up the N. side of Rappa. Riv., 26 Sept. 1668, p. 177. 1000 acs. granted to Mr. Epa. La"
II_6_400,6,"CAPT. ALEX. FLEMING, 560 acs. in the freshes of Rappa. Co., about 2 mi. from the. river, 4 Sept. 1667, p. 183. Beg. at Cockill Cr., which is"
II_6_402,6,"LT.. COLL. JNO. WASHINGTON, 560 acs. in the freshes of Rappa., aboute 2 mi, from'the river, 3 Nov. 1673, p. 183. Beg. neer Cockill Cr. issui"
II_6_408,6,"SAME. 1100 acs., same Co., date & page. On W’n. part of Machepungo Cr. &c., and on part of land formerly belonging to Mr.. Stephen Charleton"
II_6_415,6,"JNO. TAYLOR, 699 acs., 26 June 1666, p. 190. 450 acs. runing up a Sw. of Wiccocomico & adj. his own land; 249 acs: runing up a Sw. & adj. Ri"
II_6_416,6,"THOMAS NORTHELEETS, 300 acs. on N. side of the S’n. br. of Nancemond Riv., 30 Sept. 1668, p. 190. Granted to Jnd, Skerrott, 17 Mar. 1654 & a"
II_6_417,6,"THO. COWLING, 650 acs. Up. Par. of Nancemond Co., 22 Sept. 1668, p. 191. 350 acs. part granted him 5 July 1653, & 300 acs. for trans. of 6 p"
II_6_423,6,"MICHAELL KING, 300 acs. Up. Par. of Nancimond Co., 5 Oct. 1667, p. 193. Adj. Robt. Brasseur. Trans. of 6 pers: Tho. Milner 4 tymes, David Be"
II_6_424,6,"JNO. COOPS, 800 acs. Nancimorn Co., 5 Oct. 1667, p. 193. At the head of Mill Cr. falling into the S’n. br. of Nancimond Riv., & adj. Mr. Fra"
II_6_425,6,"WILL. SMELY, 300 acs., at head of Queen’s Cr., a br. of the W’'n. br. of Nancimond Riv., 5 Oct. 1667, p. 194. Adj. Hugh Sanders & Jno. Moore"
II_6_433,6,"DENNIS CONWAY, 670 acs. N’umherland Co., N. side of the maine br. of -Gr. Wiccocomoco Riv., 8 Oct. 1668, p. 199. 390 acs. part granted to hi"
II_6_441,6,"TOHN SMITH & FRANCIS HAYDON. 1000 acs. in Potomack freshes, 20 Nov. 1668. p. 204. Extending to the mouth of the 2nd Cr. above Puscatna, alon"
II_6_449,6,"CURTIS LAND, 457% acs., by supposition part in Chas. & James Citry Co.’s, as yet undetermined. 20 Apr. 1667, p. 208. Adj. Joseph Fry, Dockma"
II_6_450,6,"STEPHEN DURDEN, 250 acs. Up. Par. of Nanzemond Co., 1 Mar. 1668, p. 208. Adj. Robert Hookes, Israel Johnson. Thomas Powell. Tho. Galle & his"
II_6_451,6,"MR. JOHN & GEORGE MOTT, 3700 acs. on N. side in the freshes of Rappa. Co., 10 Sept. 1668, p. 209. Beg. at E’most side of Mundy Cr. &c. nere "
II_6_453,6,"JOHN ATKINS, sonne of Lewis Atkins, dec’d., 650 acs. S. side Mattapony Riv.. 14 Sept. 1668. p. 210. Adj. Edward Diggs. Esqr.. Wm, Goffe &c. "
II_6_454,6,"GODFREY HUNT, 100 azcs., in Chuckatuck Cr., 18 Nov. 1668, p. 210. Adj. John Barrerr, Tho. Benbridge & Mr. Wm. Burgh. Trans. of 2 pers: Susan"
II_6_456,6,"MR. JOHN BEAUCHAMPE, 82 A.. 2 R. & 24 Po.. Henrico Co., N. side of James River., adj. Barrow plantation; 17 Aug. 1668, p. 211. Trans. of 2 p"
II_6_458,6,"JOHN BRADY. 380 aces. Surry Co.. at head of brs. of Graye’s Cr.. 7 Oct. 1668. p. 212. Beg. by the Mill Sw. side, to br. of Besses Sw.. to th"
II_6_468,6,"MR. THOMAS CULLEN, 400. acs. Up. Par. of Nanzemond Co., 20 Sept. 1668, p. 215. Adj. Jno. Moore, Jno. Garrett & Francis Hutchens. Trans. of 8"
II_6_491,6,"MR. JOHN PATE & MR. ROBERT BEVERLY,. 6000 acs. upon N. side of Mattapony mayne run, adj. sd. Beverly's land, 15 July 1669, p. 225. Trans. of"
II_6_496,6,"THOMAS ROBINSON, 1000. acs. N'umberland Co., on the head of Yohocomoco Riv., & adj. Antho, Linton; 18 Aug. 1669, p. 228. Granted to sd. Robi"
II_6_506,6,"SAME. 450 acs., Same Co. & page; 10 Sept. 1669. Adj. the above, lands of Phill. Hanniford, Wm. Porter & Mr. Allen. Trans. of 9 pers: Joan Co"
II_6_512,6,"JOHN LAWRANS, $0 acs. in the Western Br. of Nanzemond Riv., adj. Jno. Crewden & Henry Lawrens 22 Apr. 1669, p. 234. Trans. of 1 pers.*"
II_6_514,6,"SAME. 15u acs. Same Co., date 8 page. Adj. Gill’s land. Trans. of 3 pers.*"
II_6_516,6,"SAME. 278 acs., same Co. & date, p. 236. Flood’s Cr. dividing this & land of Peter Dunken. Assigned by Rich. Kennor & Eliz. his wife, 26 Feb"
II_6_522,6,"JOHN MATHEWES, 1567 aes., in the freshes & on N. W. side of Pogomack Riv., on S. W. side of Mussel! Cr., & adj. land of Mr. Tho. Bunberry; 2"
II_6_524,6,"CAPT, EDMOND LISTER. 435 acs. N'umberland Co., 20 Apr. 1669, p. 239. Adj. Mr. John Chandler, Adam Yarrete & Rich. Rice. Trans: of 9 pers.*"
II_6_525,6,"RICHARD JONES, 200 acs. upon branches of Puscataway Cr. 24 Apr. 1669, p. 239. Adj. Mr. Tho. Brereton on E, side of Whorecock Sw. Trans. of 4"
II_6_531,6,"FRANCIS REDFORD, 254 A.. 3 R.. 8 P.. Henrico Co., on N. side of James Riv. 5 Aug. 1659, p. 241. Nigh the Round about Slash: adj. his own lan"
II_6_532,6,"ROBER (Robert ?) TUCKER, 100 acs. in the Western br. of Eliz. Riv., edi. land of the Widdow Jennings & Jao. Ellon, &c; 22 Apr. 1669. p. 242."
II_6_533,6,"HEN. GAY, 400 acs. Up. Par, of Nanzemond Co., adj. James Collins & Phillip Dewell; 22 Apr. 1669, p. 242. Trans. of 8 pers: 4 children assign"
II_6_543,6,"MR. FRANCIS SANDERS, 130 acs. James Citrv Co., at the head of Jones Cr.. of Chickshominy Riv; a little above the Mill, 7 June 1669. p. 246. "
II_6_544,6,"EDWARD SIMPSON. 84 acs. asent Cao oN, Apr. 1669. p. €: Psnetico cr, of Robert Poll of Yorke by pers: New side Martanony Riv., 24 246, LA acs"
II_6_569,6,"SAME. 2876 acs. Same Co. & page. 24 Ocr. 1669. 2000 acs. Adj. Jno. Mills, Thomas Rayson, Anthony North, & orphant of Clement Thrush; 876 acs"
II_6_572,6,"MR. WM, CODOGAN (Cadogan). 50 acs. in the W'n. br. of Nancemond Riv., lying ber. 2 creeks which makes it an island; adj. Stephen Durden & hi"
II_6_577,6,"THOMAS’ TUNNELL, 700 acs. at Accocompson, adj. Jno, Watts; 30 Oct. 1669, p. 258. 400 acs, part of Southby Littleton’s 850 acs. pattented 12 "
II_6_580,6,"SAME. 400 acs., same location; 28 Oct. 1669, p. 259. Granted to John Renny 10 Jan. 1662, & assigned to sd. Johnson."
II_6_586,6,"GEO. ARCHER, 784 A. 3 R. 10 P. Henrico Co., Bristore (Bristol) Par., N. side of -Appamattock Riv., next above the old Towne Land, 25 Sept. 1"
II_6_589,6,"MR. ROBT. HOWSING (Houseing), 6000. acs. on the W. side in the freshes of Potomack Riv., above the dividing branches, 21 Oct. 1669, p. 262. "
II_6_592,6,"RICHARD COLEMAN, 380 acs. W'morcland Co., 13 Dec. 1665, p. 264. 300 acs. adj. plantation of Mr. Wm. Presley, a er. of Yeocomoco Riv., &c; gr"
II_6_611,6,"WILLM. TIGNOR, 550 acs. N’umherland- Co., N. siide of Gr. Wiccocomoco Riv., 4 Jan. 1669, p. 271. Upon Mr. Ashton's Cr., dividing this from J"
II_6_617,6,"MR. EDMOND CHESMAN, 300 acs. N. side Chesman’s Cr., on Bay tree. neck, adj. Jno. Adleston, bet. Lt. Col. Jno. Chesman, Mr. Beale & Jno., Cla"
II_6_625,6,"MR. THOMAS WRIGHT & JOHN CHYNN; 220 acs. N. side of Rappa. Co., near the head of Moratticoe Cr., by the Mill Dam, &c; 26 Apr. 1670, p. 276. "
II_6_639,6,"RICH. SHEWELL, 200 acs. near head of the S’n. br. of Nanzemond Riv; 30 Oct, 1669, p. 282. Trans. of 4 pers: Robert Williams, Jno. Edwards, T"
II_6_644,6,"ROBERT JOHNSON, 300 acs. Up. Par. of Nancemond Co., 30 Oct, 1669, p. 283. Trans. of 6 pers: Charles Duthkaies (?), Jno. Turley, Jane Cresdal"
II_6_645,6,"MR. THOMAS VICCARS & ROBERT LITTLEFIELD, 550 acs. Glosver Co., bet. branches of Chiscake & Ware Riv., 16 Aug. 1669, p. 284. Adj. David Monor"
II_6_660,6,"WILLIAM PEBLES, 473 A., 3 R., 24 P.,.Chas: Citty Co., S. side of James Riv., adj. Mr. Tho. Newhouse, the Burchen Sw. &c; 30 July 1670, p..28"
II_6_662,6,"JAMES TURNER, 786.acs. New Ken: Co., upon both sides of the Horse path to Mahexem (ot. Matrexem) & upon upper ‘side of Whyting’s Br., 17 Jun"
II_6_667,6,"WILL. BRUSE, of Rappa. Co., Sittingborne Par., 250 acs. in sd. Co. & Par., 30 Oct. 1669, p. 292. Nigh a path to the Indian Sw. & adj. his ow"
II_6_671,6,"MR. HENRY CLARKE, of Rappa. Co., 1495 acs.,.30 Oct. 1669, p. 293. Adj. land of Tho. Goose, given to by George Brayer by will, running to N. "
II_6_680,6,"HENRY NICHOLAS, 300 acs., S. side of the E’n. br. of Eliz. Riv., 30 Oct. 1669, p. 297. 100 acs. by patt., 22 Nov. 1651; & 200 acs. for trans"
II_6_714,6,"MR. RICHARD WEBLY, {80 acs. N.- side of Rappa. Co. adj. his own land; 10 Mar. 1664/5, p. 310. Trans. of 10 pers: John Wilson, Robr. Sharpe H"
II_6_715,6,"MR. ROBERT BRACEWELL. 8006 acs. Up. Par. of Nancimond Co., adj. his own & land of James Long; 22 Apr. 1670, p. 310. Trans. of 16 pers: Mary "
II_6_718,6,"ALEXANDER ANDERSON, 300 acs. Up. Par. of Nanzemond Co., adj. James Long & Hugh Sanders; 22 Apr. 1670, p. 311. Trans. of 6 pers: Jno. Dickeso"
II_6_719,6,"MR. JAMES LONGE., 200 acs. Up Par. of Nanzimond Co., adj. his own land; 22 Apr. 1670, p. 311. Trans. of 4 pers: Jno. Jacob, Wm. Andrewes, Sy"
II_6_722,6,"SAME. 80 acs., known as Racoone Island with a ceder hummocke & sunken Marsh thereunto belonging, adj. Smith’s Is, Riv. & Sandy Is; same Co.,"
II_6_739,6,"MISTRESS ANN WRIGHT, daughtec of Mr. Richard Wright, 1100 acs; in Potomack freshes above Puseatm. adj. Mr. John Ashton; 7 Oct. 1670, p. 319."
II_6_740,6,"MAJOR JOHN WEIRE, 52274 acs., in Sittenbourn Par., N. side of Rappa. Riv., adj. Charles Sneed (Snead), by main br. of Irland Sw., Mattox Pat"
II_6_742,6,"MR. RICHARD GOODE, 256 acs. S. side of Rappa. Riv., E. side of Ohcapce (or Chcapce) Creeke, adj. Mr. William Moseley; 15 Oct. 1670, p. 320. "
II_6_746,6,"SAME. 300 acs., same Co, & date, p. 322. Beg. at the Sandy bankes by Lincolne, adj. Plumer Bray & the maine Ocean; Trans. of 6 pers: Richard"
II_6_759,6,"JOHN BARROW, 1500 acs. in the freshes & on S. side of Rappa. Riv., adj. Tho. Lucas, Junr. & Clemt, Herbert; 13 Oct. 1670, p. 326. Granted to"
II_6_765,6,"JOHN & GEORGE MOTT, 15.654 acs. on N. side & in the freshes of Rappa. Riv., 17 Oct. 1670, p. 329. Adj. Wm. Wilton, Mr. Wm. Ball, Richard Hea"
II_6_767,6,"COL. NICH. SPENCER, 3250 acs. W’'morcland Co., at the head of Nominy Riv.. S. E. of Herring Cr., by br. of Machotick Riv., opposite Tho. Yow"
II_6_770,6,"WILLIAM COVENTON, 20 acs. S. side of Rappa. Co., adj. land on which he lives. 19 Oct. 1670, p. 331."
II_6_771,6,"SAME. 300 acs., same Co. & date, p. 332. On a br. of Dragon Sw., adj. John Cole, Trans. of 6 pers: Ann Bygott, Eliz. Pickett, Mary Long, Mar"
II_6_774,6,"EDMOND BELSON, 100 acs. iNancemond Co., 26 Apr. 1670, p. 333. Granted to Nich. Cornwall, dec’d., & by inquisition &c., under Mr. Willm. Alfo"
II_6_788,6,"HENRY & ELIZABETH JAWRENCE, 350 acs. in the N, W.-br. of Nancemond Riv., 19: Oct. 1670, p. 337. 250 acs. adj. Mr. Robert Lawrence, & an Isla"
II_6_791,6,"JNO. CARPENTER, CHARLES CARPENTER & WILLIAM WEST, 800 acs. N'umberland Co., at the head of a br. of the maine br. of Gr. Wicco-comoco Riv., "
II_6_794,6,"THO. MADDISON (Madison), 200 acs. Rappe. Co.. 17 Nov. 1670. p. 340. Trans. of 4 pers: Xpian. Holladay, Wm. Nicholls, Peter Gibbs, Rowland Hu"
II_6_795,6,"SAME. 180 acs., same Co., date & page. Trans. of 4 pers: Robert Greene, Mary Rose, Morris Green, Hen. Groves."
II_6_796,6,"SAME. 250 acs., same Co., date & page. Trans. of 5 pers: Tho. Preston, Wm. Morgan, Mary Senior, Jane Lassers, Tho. Jarvis."
II_6_800,6,"THOMAS ELVAR, 303 acs. Rappe. To., adj. David Birke; 17 Nov. 1670. p. 342. Part of 606 acs. granted sd. Elvar & Tho. Maddison, 8 July 1663, "
II_6_813,6,"MIHILL HUGHILL & THOMAS SHORT, 1000 acs. on the N. side & in the freshes of Rappa, Riv., 26 May 1666, p. 346. Trans. of 20 pers: Harman Ford"
II_6_816,6,"JAMES HILL, 100 acs. N’umberland a. upon the head of Wiccocomoco Riv., 26 June 1666, p. 347. Trans. of 2 pers: Jno. Cale. Emy Portey."
II_6_820,6,"LT. COL. JOHN WASHINGTON. 450 acs. N'umberland Co., S. side Potomack Riv., nigh Nominy; adj. Danl. Hutt, merchant, & Wm, Overed; 10 Oct. 167"
II_6_831,6,"MR. LEONARD CLAYBORNE, 3000 acs., N. side of Mattapony Riv., on upper side of Doctor Moody, &c., 1 Apr. 1671, p. 353. Trans. of 60 pers: Jam"
II_6_832,6,"RICHARD WHITE & GEORGE VINCENT, 425 acs. N. side of Lancaster Co., at the heads of the branches of the Sw. of Marattico Cr., adj. Edwd. Rile"
II_6_835,6,"MR. JOHN THOMAS, 1000 acs. upon a br. of. Potomack freshes beyond land of ‘Col. Speake, upon the Island Cr. & by land of Mr. Jernmew; 4 Apr."
II_6_839,6,"MR. JOHN THOMAS, 1000 acs. at thé head of a Cr. in Potomack freshes beyond the Doegs Is.. & land of- Col Speake, adj. land -of Robert Lord &"
II_6_845,6,"WILLM. ROGERS, 100 acs. on S. side of the F'n. br. of Eliz. Riv., adj. Tames Whitehurst; 24 May 1671, p. 361. Trans. of 2 pers: Jno. Thomson"
II_6_855,6,"JAMES COLLINS, 164 acs., in the Up. Par. of Nanzemond Co., adj. his own & land of Francis Wells; 29 July 1671, p. 364. Trans. of 4 pers: Mar"
II_6_867,6,"MR. EDWARD THELWELL, 250 acs., near head of the S’n. br. of Nansemond Riv., adj. Thomas Mason, & Fra. Wells; 14 Apr. 1670, p. 368. Trans. of"
II_6_868,6,"MR. JNO. SUMNER, 67 acs., in the Up. Par. of Nancemond Co., adj. Henry Coopeland; Tho. Norficet; & Wm. Moore; 14 Apr. 1670, p. 368. Trans. o"
II_6_881,6,"WM. JOHNSON, sonne of Wm. Johnson, dec'd.. 550 acs. on N. W. side of Puscatna (Puscatakon) alice Coxes Cr., parallel to land of Robert Young"
II_6_888,6,"MAJOR GEORGE PARKER, 50 acs.. Nrampton Co., 2 Oct. 1671, p. 374. Granted to Anthony Johnson, dec'd., & by inquisition under Col. John String"
II_6_889,6,"WM. WILTON, 300 acs., on N. side & in the freshes of Rappa. Riv., about 10 mi. above Nanzemund Towne, adj. Nicholas Merriwether; on the main"
